美团交易账单明细
美团用户名：[SJT714453696]
起始时间：[2025-02-01] 终止时间：[2025-02-28]
导出交易类型：[全部]
导出时间：[2025-03-30 17:43:31]
""
共：29笔记录
支出：23笔 1175.68元
收入：6笔 209.73元
不计收支：0笔 0.00元
""
特别提示：
1. 本明细与实际交易结果不符时，以实际交易情况为准
2. 本明细仅展示当前账单中的交易，不包括已删除的记录
3. 部分账单记录如充值/提现等交易，不计入为收入或支出类别
4. 因统计逻辑不同，明细的实付金额累加后可能与统计金额不一致，请以实际交易金额为准
5. 本明细仅供用户个人对账使用，不具备任何证明效力，禁止用于非法用途
""
【美团交易账单明细列表】
交易创建时间,交易成功时间,交易类型,订单标题,收/支,支付方式,订单金额,实付金额,交易单号,商家单号,备注
2025-02-28 20:35:13,2025-02-28 20:35:25,支付,喜茶（北京大兴万科广场店） 订单详情,支出,美团月付,¥22.30,¥21.17,"25022811100401670006000394166443	","0_2204430449361044	",/
2025-02-27 07:04:17,2025-02-27 07:04:18,退款,【爆款回归】葡式蛋挞6只,收入,中国银行信用卡(1875),¥20.00,¥20.00,"2502270181541103443	","4981008581243837847AL7R600WKKG	",/
2025-02-23 18:36:01,2025-02-23 18:36:06,支付,特惠|云南米线单人餐,支出,中国银行信用卡(1875),¥19.90,¥19.90,"25022311100401670005375719946443	","1KUMYGHXA2A04076	",/
2025-02-22 19:58:32,2025-02-22 19:58:39,支付,美团商家代金券-290037580768165674,支出,微信支付,¥11.90,¥11.90,"25022211100401670005236016276443	","5780428521u403b	",/
2025-02-22 01:58:54,2025-02-22 01:58:56,支付,【干饭必饱】炒米粉（辣）+矿泉水,支出,中国银行信用卡(1875),¥15.90,¥15.90,"25022211100401670005107049805443	","1KUHFNYFEL504076	",/
2025-02-22 01:55:58,2025-02-22 01:56:07,支付,【全天通用】沪小胖单人牛羊肉畅吃,支出,微信支付,¥218.00,¥218.00,"25022211100401670005107647721443	","1KUHFHEL6ZZ04076	",/
2025-02-22 01:52:57,2025-02-22 01:53:03,支付,鱼酷活鱼烤鱼代金券,支出,微信支付,¥139.00,¥139.00,"25022211100401670005107508000443	","1KUHFBS112R04076	",/
2025-02-22 01:51:26,2025-02-22 01:51:34,支付,【全口味】129现杀现烤一条鱼-上海,支出,微信支付,¥119.00,¥119.00,"25022211100401670005107526818443	","1KUHF8YGWEF04076	",/
2025-02-22 01:49:37,2025-02-22 01:49:48,支付,美团商家代金券-290026692226646356,支出,微信支付,¥34.90,¥34.90,"25022211100401670005107604535443	","5776422246u403b	",/
2025-02-22 01:45:50,2025-02-22 01:45:57,支付,凤凰湘语代金券,支出,微信支付,¥149.70,¥149.70,"25022211100401670005107356814443	","1KUHEYEALFN04076	",/
2025-02-22 01:45:03,2025-02-22 01:45:23,支付,望湘园·湖南菜代金券,支出,微信支付,¥139.80,¥139.80,"25022211100401670005107356343443	","1KUHEWZDZDY04076	",/
2025-02-22 01:42:03,2025-02-22 01:42:06,支付,【爆款回归】葡式蛋挞6只,支出,中国银行信用卡(1875),¥20.00,¥20.00,"25022211100401670005107560671443	","1KUHEPBAL7R04076	",/
2025-02-22 01:40:24,2025-02-22 01:40:29,支付,7分甜杨枝甘露-大杯1杯,支出,中国银行信用卡(1875),¥14.01,¥14.01,"25022211100401670005107001197443	","1KUHEL8A49F04076	",/
2025-02-22 01:39:24,2025-02-22 01:39:30,支付,「经典招牌」芒椰小丸子-中杯,支出,美团余额,¥10.90,¥10.90,"25022211100401670005107038546443	","1KUHEJC54GY04076	",/
2025-02-22 01:37:36,2025-02-22 01:37:38,支付,川渝竹苑·川菜小酒馆·Bistro2人餐,支出,中国银行信用卡(1875),¥57.77,¥57.77,"25022211100401670005107313353443	","1KUHEF0HT3B04076	",/
2025-02-22 01:34:49,2025-02-22 01:34:51,支付,潇湘阁代金券,支出,中国银行信用卡(1875),¥48.00,¥48.00,"25022211100401670005106205516443	","1KUHE9S6RE704076	",/
2025-02-22 00:50:05,2025-02-22 00:50:15,支付,纯味斑鱼府代金券,支出,中国银行信用卡(1875),¥50.00,¥49.56,"25022211100401670005106003552443	","1KUHBMW0L6A04076	",/
2025-02-20 14:08:11,2025-02-20 14:20:31,退款,美团商家代金券-289893092226646356,收入,美团月付,¥11.90,¥11.77,"2502200119979523443	","467219105	",/
2025-02-20 14:08:11,2025-02-20 14:08:15,退款,美团商家代金券-289893081774554007,收入,美团月付,¥11.90,¥10.06,"2502200120013716443	","467192366	",/
2025-02-19 07:51:36,2025-02-19 07:51:44,退款,魅KTV（世纪大道百联世纪店）,收入,微信支付,¥68.00,¥68.00,"2502190109347928443	","4981005307001803159XU30500T09A	",/
2025-02-19 07:27:18,2025-02-19 07:27:26,退款,星聚会KTV（陆家嘴中心店）,收入,微信支付,¥88.00,¥88.00,"2502190109099845443	","4981005304532213143GR60500JL0E	",/
2025-02-16 19:06:37,2025-02-16 19:06:42,支付,米麒麟云南小锅米线（北洋泾店） 订单详情,支出,中国银行信用卡(1875),¥19.81,¥19.81,"25021611100401670004440772542443	","0_2197093615441029	",/
2025-02-16 12:34:52,2025-02-16 12:35:00,支付,霸碗盖码饭(上海由由世纪广场店) 订单详情,支出,中国银行信用卡(1875),¥19.45,¥19.02,"25021611100401670004377675164443	","0_2196949152977071	",/
